Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
08 New Plymouth 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3734-08-new-plymouth-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:45	2011-07-19 00:06:45	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3734
09 Taumarunui 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3736-09-taumarunui-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:46	2011-07-19 00:06:46	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3736
10 Napier 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3737-10-napier-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:47	2011-07-19 00:06:47	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3737
11 Gisborne 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3738-11-gisborne-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:47	2011-07-19 00:06:47	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3738
12 Mile Territorial Sea Limit Basepoints	https://data.linz.govt.nz/layer/845-12-mile-territorial-sea-limit-basepoints/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>New Zealand Territorial Seas</p><p>The territorial sea is the belt of sea adjacent to the coast out to a distance of 12 nautical miles from prescribed baselines over which New Zealand, as the coastal state, has the same rights of sovereignty that it exercises over its land territory subject to the right of innocent passage (and transit passage through any straits used for international navigation) of ships of other states. 'Innocent passage' excludes fishing activities.</p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:36		2011-07-26 12:07:26	2011-07-26 12:07:26	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:845
12 Mile Territorial Sea Outer Limit	https://data.linz.govt.nz/layer/846-12-mile-territorial-sea-outer-limit/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>New Zealand Territorial Seas</p><p>The territorial sea is the belt of sea adjacent to the coast out to a distance of 12 nautical miles from prescribed baselines over which New Zealand, as the coastal state, has the same rights of sovereignty that it exercises over its land territory subject to the right of innocent passage (and transit passage through any straits used for international navigation) of ships of other states. 'Innocent passage' excludes fishing activities.</p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:36		2011-07-26 12:07:28	2011-07-26 12:07:28	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:846
12 Takaka 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3739-12-takaka-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:48	2011-07-19 00:06:48	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3739
13 Nelson 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3740-13-nelson-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:50	2011-07-19 00:06:50	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3740
14 Palmerston North 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3741-14-palmerston-north-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:51	2011-07-19 00:06:51	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3741
15 Dannevirke 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3742-15-dannevirke-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:38		2011-07-19 00:06:52	2011-07-19 00:06:52	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3742
16 Wellington 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3743-16-wellington-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-08-15 03:01:06	2011-08-15 03:01:06	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3743
16s Wellington 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3744-16s-wellington-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:52	2011-07-19 00:06:52	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3744
17 Greymouth 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3745-17-greymouth-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:38		2011-07-19 00:06:53	2011-07-19 00:06:53	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3745
18 Murchison 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3746-18-murchison-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:53	2011-07-19 00:06:53	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3746
